2024-04-22 17:21:02.7795 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-04-22 17:21:03.4282 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-04-22 17:21:05.6754 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-04-22 17:21:05.8273 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-04-22 17:21:05.8273 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly BillingAPI
2024-04-22 17:21:05.8273 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2024-04-22 17:21:05.8273 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2024-04-22 17:21:06.2809 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9N" accepted.
2024-04-22 17:21:06.2809 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9M" accepted.
2024-04-22 17:21:06.2809 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9M" started.
2024-04-22 17:21:06.3041 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9N" started.
2024-04-22 17:21:09.8820 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9O" accepted.
2024-04-22 17:21:09.9033 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9O" started.
2024-04-22 17:21:10.0970 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN32O9V5IN9O established using the following protocol: Tls12
2024-04-22 17:21:10.2786 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2024-04-22 17:21:10.9863 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
2024-04-22 17:21:13.3074 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
2024-04-22 17:21:13.7219 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN32O9V5IN9O" received FIN.
2024-04-22 17:21:13.7219 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" is closed. The last processed stream ID was 1.
2024-04-22 17:21:13.7219 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN32O9V5IN9O" sending FIN because: "The client closed the connection."
2024-04-22 17:21:13.7386 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9O" stopped.
2024-04-22 17:21:14.8728 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9P" accepted.
2024-04-22 17:21:14.8728 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9P" started.
2024-04-22 17:21:14.9418 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN32O9V5IN9P established using the following protocol: Tls12
2024-04-22 17:21:16.6401 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-04-22 17:21:16.6401 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-04-22 17:21:16.6401 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9N" stopped.
2024-04-22 17:21:16.6401 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9M" stopped.
2024-04-22 17:21:16.6401 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN32O9V5IN9N" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-04-22 17:21:16.6401 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN32O9V5IN9M" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-04-22 17:21:18.7232 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN32O9V5IN9P" received FIN.
2024-04-22 17:21:18.7232 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" is closed. The last processed stream ID was 5.
2024-04-22 17:21:18.7232 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN32O9V5IN9P" sending FIN because: "The client closed the connection."
2024-04-22 17:21:18.7232 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9P" stopped.
2024-04-22 17:21:29.2194 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9Q" accepted.
2024-04-22 17:21:29.2194 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9Q" started.
2024-04-22 17:21:29.2194 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN32O9V5IN9Q established using the following protocol: Tls12
2024-04-22 17:21:29.2813 | DEBUG | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The request path  does not match the path filter
2024-04-22 17:21:29.3505 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | 1 candidate(s) found for the request path '/api/CLBIL01/GetBills'
2024-04-22 17:21:29.3558 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | Endpoint 'BillingAPI.Controllers.CLBIL01Controller.GetBills (BillingAPI)' with route pattern 'api/CLBIL01/GetBills' is valid for the request path '/api/CLBIL01/GetBills'
2024-04-22 17:21:29.3558 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request matched endpoint 'BillingAPI.Controllers.CLBIL01Controller.GetBills (BillingAPI)'
2024-04-22 17:21:29.4057 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of authorization filters (in the following order): BillingAPI.Filters.AuthenticationFilter, BillingAPI.Filters.AuthorizationFilter
2024-04-22 17:21:29.4057 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of resource filters (in the following order): None
2024-04-22 17:21:29.4057 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of action filters (in the following order): Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter (Order: -3000), Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter (Order: -2000)
2024-04-22 17:21:29.4057 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of exception filters (in the following order): None
2024-04-22 17:21:29.4057 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of result filters (in the following order): Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter (Order: -2000)
2024-04-22 17:21:35.4616 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing controller factory for controller BillingAPI.Controllers.CLBIL01Controller (BillingAPI)
2024-04-22 17:21:35.4640 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed controller factory for controller BillingAPI.Controllers.CLBIL01Controller (BillingAPI)
2024-04-22 17:21:35.6382 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | List of registered output formatters, in the following order: Microsoft.AspNetCore.Mvc.Formatters.HttpNoContentOutputFormatter, Microsoft.AspNetCore.Mvc.Formatters.StringOutputFormatter, Microsoft.AspNetCore.Mvc.Formatters.StreamOutputFormatter, Microsoft.AspNetCore.Mvc.Formatters.SystemTextJsonOutputFormatter
2024-04-22 17:21:35.6382 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | No information found on request to perform content negotiation.
2024-04-22 17:21:35.6382 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | Attempting to select an output formatter without using a content type as no explicit content types were specified for the response.
2024-04-22 17:21:35.6382 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | Attempting to select the first formatter in the output formatters list which can write the result.
2024-04-22 17:21:35.6382 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | Selected output formatter 'Microsoft.AspNetCore.Mvc.Formatters.SystemTextJsonOutputFormatter' and content type 'application/json' to write the response.
2024-04-22 17:21:38.8427 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN32O9V5IN9Q" received FIN.
2024-04-22 17:21:38.8427 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9Q" is closed. The last processed stream ID was 1.
2024-04-22 17:21:38.8427 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN32O9V5IN9Q" sending FIN because: "The client closed the connection."
2024-04-22 17:21:38.8427 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN32O9V5IN9Q" stopped.
2024-04-22 17:24:21.6460 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
