2024-05-01 09:36:52.0224 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-05-01 09:36:52.0345 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-01 09:36:52.0345 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-05-01 09:36:52.0345 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-05-01 09:36:52.0345 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-01 09:36:52.0345 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-01 09:36:52.1264 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-05-01 09:36:52.1904 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-01 09:36:52.6563 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-05-01 09:36:53.9855 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-01 09:36:53.9855 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-01 09:36:53.9855 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-01 09:36:53.9855 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-01 09:36:53.9855 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-05-01 09:36:53.9855 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-05-01 09:36:53.9855 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-05-01 09:36:54.0547 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-05-01 09:36:54.6604 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-01 09:36:54.6604 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-01 09:36:54.7047 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-01 09:36:54.7047 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-01 09:36:54.7630 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS.
