224-04-04 16:43:31.8964 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
224-04-04 16:43:31.9165 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-04 16:43:31.9165 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
224-04-04 16:43:31.9165 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
224-04-04 16:43:31.9165 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-04 16:43:31.9165 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" received HEADERS frame for stream ID 1 with length 446 and flags END_STREAM, END_HEADERS, PRIORITY.
224-04-04 16:43:31.9629 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
224-04-04 16:43:32.0019 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
224-04-04 16:43:32.1392 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending HEADERS frame for stream ID 1 with length 69 and flags END_STREAM, END_HEADERS.
224-04-04 16:43:32.1463 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" received HEADERS frame for stream ID 3 with length 36 and flags END_STREAM, END_HEADERS, PRIORITY.
224-04-04 16:43:32.1463 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
