224-04-05 12:16:10.6769 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
224-04-05 12:16:10.6944 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-05 12:16:10.6944 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
224-04-05 12:16:10.6944 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
224-04-05 12:16:10.6975 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-05 12:16:10.6975 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
224-04-05 12:16:10.732 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
224-04-05 12:16:10.8785 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
224-04-05 12:16:11.5363 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
224-04-05 12:16:12.1937 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
224-04-05 12:16:12.1937 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
224-04-05 12:16:12.1937 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
224-04-05 12:16:12.1937 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
224-04-05 12:16:12.1937 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" sending DATA frame for stream ID 1 with length 992 and flags NONE.
224-04-05 12:16:12.1937 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" sending DATA frame for stream ID 1 with length 65 and flags NONE.
224-04-05 12:16:12.1937 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" sending DATA frame for stream ID 1 with length 16 and flags NONE.
224-04-05 12:16:12.2155 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
224-04-05 12:16:12.6760 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
224-04-05 12:16:12.6760 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKM" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
224-04-05 12:16:12.6821 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
