2024-06-07 10:32:25.4403 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-06-07 10:32:25.4857 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-06-07 10:32:25.4866 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-06-07 10:32:25.4866 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-06-07 10:32:25.4866 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-06-07 10:32:25.4866 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" received HEADERS frame for stream ID 1 with length 469 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-06-07 10:32:25.5148 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-06-07 10:32:25.5676 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-07 10:32:25.8549 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-06-07 10:32:26.1888 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-06-07 10:32:26.1892 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-06-07 10:32:26.1892 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-06-07 10:32:26.1892 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-06-07 10:32:26.1892 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-06-07 10:32:26.1892 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-06-07 10:32:26.1892 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-06-07 10:32:26.2069 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-06-07 10:32:26.9140 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" received HEADERS frame for stream ID 3 with length 115 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-06-07 10:32:26.9140 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-06-07 10:32:26.9140 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-07 10:32:26.9140 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-07 10:32:26.9253 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS.
2024-06-07 10:32:26.9253 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 3 with length 11990 and flags NONE.
