224-04-09 10:45:39.7924 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
224-04-09 10:45:39.8162 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-09 10:45:39.8162 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
224-04-09 10:45:39.8162 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
224-04-09 10:45:39.8162 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-09 10:45:39.8162 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
224-04-09 10:45:39.8760 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
224-04-09 10:45:39.9394 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
224-04-09 10:45:40.7105 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
224-04-09 10:45:41.1976 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
224-04-09 10:45:41.1976 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
224-04-09 10:45:41.1976 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
224-04-09 10:45:41.1976 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
224-04-09 10:45:41.1976 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 1 with length 992 and flags NONE.
