2024-04-10 09:35:40.2170 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-10 09:35:40.2245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-10 09:35:40.2245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-10 09:35:40.2245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-10 09:35:40.2245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-10 09:35:40.2245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-10 09:35:40.2642 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-10 09:35:40.2904 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-10 09:35:40.7176 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-10 09:35:41.5239 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-10 09:35:41.5239 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-10 09:35:41.5239 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-10 09:35:41.5239 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-10 09:35:41.5239 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-04-10 09:35:41.5239 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-10 09:35:41.5239 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-04-10 09:35:41.5428 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-10 09:35:41.7646 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-10 09:35:41.7721 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
