2024-06-10 09:44:21.5670 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-06-10 09:44:21.5741 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-06-10 09:44:21.5741 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-06-10 09:44:21.5741 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-06-10 09:44:21.5741 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-06-10 09:44:21.5741 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" received HEADERS frame for stream ID 1 with length 469 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-06-10 09:44:21.6016 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-06-10 09:44:21.6250 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-10 09:44:21.8937 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-06-10 09:44:22.5522 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-06-10 09:44:22.5522 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-06-10 09:44:22.5522 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-06-10 09:44:22.5522 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-06-10 09:44:22.5522 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-06-10 09:44:22.5522 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-06-10 09:44:22.5522 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-06-10 09:44:22.5779 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-06-10 09:44:23.3892 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" received HEADERS frame for stream ID 3 with length 115 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-06-10 09:44:23.3892 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-06-10 09:44:23.3963 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-10 09:44:23.3963 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-10 09:44:23.4133 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS.
2024-06-10 09:44:23.4133 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 3 with length 11990 and flags NONE.
2024-06-10 09:44:23.4133 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-06-10 09:44:23.7328 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending HEADERS frame for stream ID 5 with length 149 and flags END_HEADERS.
2024-06-10 09:44:23.7328 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 9986 and flags NONE.
2024-06-10 09:44:23.7328 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7328 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7328 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
