2024-04-11 10:02:12.3483 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-11 10:02:12.3575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-11 10:02:12.3575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-11 10:02:12.3575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-11 10:02:12.3575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-11 10:02:12.3575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-11 10:02:12.4194 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-11 10:02:12.4480 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-11 10:02:13.0482 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-11 10:02:14.0898 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-11 10:02:14.0898 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-11 10:02:14.0898 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-11 10:02:14.0898 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
