2024-04-12 09:32:25.6330 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-12 09:32:25.6399 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-12 09:32:25.6399 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-12 09:32:25.6399 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-12 09:32:25.6399 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-12 09:32:25.6399 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-12 09:32:25.6727 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-12 09:32:25.7014 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-12 09:32:26.2196 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-12 09:32:26.6101 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-12 09:32:26.6101 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-12 09:32:26.6101 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-12 09:32:26.6101 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-12 09:32:26.6101 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-04-12 09:32:26.6101 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-12 09:32:26.6101 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-04-12 09:32:26.6346 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-12 09:32:27.7329 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-12 09:32:27.7376 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-12 09:32:27.7376 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-12 09:32:27.7376 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-12 09:32:27.7376 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS.
2024-04-12 09:32:27.7376 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 3 with length 11990 and flags NONE.
2024-04-12 09:32:27.7376 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-04-12 09:32:27.7897 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending HEADERS frame for stream ID 5 with length 149 and flags END_HEADERS.
2024-04-12 09:32:27.7897 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 5 with length 9986 and flags NONE.
2024-04-12 09:32:27.7897 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
