2024-06-14 11:40:17.9883 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-06-14 11:40:17.9883 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-06-14 11:40:17.9883 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-06-14 11:40:18.0022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-06-14 11:40:18.0022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-06-14 11:40:18.0022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" received HEADERS frame for stream ID 1 with length 469 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-06-14 11:40:18.1634 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-06-14 11:40:18.2496 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-14 11:40:19.4317 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-06-14 11:40:20.6184 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-06-14 11:40:20.6184 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4C72JO8GLN" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
