2024-04-18 12:22:05.3219 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-18 12:22:05.3547 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-18 12:22:05.3547 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-18 12:22:05.3576 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-18 12:22:05.3576 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-18 12:22:05.3576 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-18 12:22:05.4932 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-18 12:22:05.6229 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-18 12:22:06.9422 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-18 12:22:11.6179 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-18 12:22:11.6179 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-18 12:22:11.6179 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-18 12:22:11.6179 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-18 12:22:11.6179 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-04-18 12:22:11.6179 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-18 12:22:11.6179 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 1 with length 16 and flags NONE.
