2024-04-19 14:48:41.7621 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-19 14:48:41.7741 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-19 14:48:41.7741 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-19 14:48:41.7741 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-19 14:48:41.7741 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-19 14:48:41.7741 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-19 14:48:41.8095 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-19 14:48:41.8599 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-19 14:48:42.2270 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-19 14:48:42.5141 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-19 14:48:42.5141 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-19 14:48:42.5141 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-19 14:48:42.5141 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-19 14:48:42.5141 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-04-19 14:48:42.5141 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-19 14:48:42.5141 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-04-19 14:48:42.5331 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-19 14:48:43.0267 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-19 14:48:43.0267 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-19 14:48:43.0324 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-19 14:48:43.0324 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-19 14:48:43.0324 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS.
2024-04-19 14:48:43.0324 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 3 with length 11990 and flags NONE.
2024-04-19 14:48:43.0497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 9986 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-19 14:48:43.1299 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN30A6POO3JC" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
