2024-04-22 17:21:10.1436 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-22 17:21:10.1650 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-22 17:21:10.1650 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-22 17:21:10.1669 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-22 17:21:10.1669 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-22 17:21:10.1669 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-22 17:21:10.2202 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-22 17:21:10.2786 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-22 17:21:11.0312 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-22 17:21:13.2706 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-22 17:21:13.2706 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-22 17:21:13.2706 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-22 17:21:13.2706 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-22 17:21:13.2706 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9O" sending DATA frame for stream ID 1 with length 992 and flags NONE.
