2024-05-22 10:20:22.0845 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-05-22 10:20:22.1163 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-22 10:20:22.2338 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-05-22 10:20:22.2338 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-05-22 10:20:22.2338 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-22 10:20:22.2338 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-22 10:20:22.4568 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-05-22 10:20:22.5725 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-22 10:20:25.1008 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-05-22 10:20:30.1650 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-22 10:20:30.1650 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-22 10:20:30.1650 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-22 10:20:30.1650 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-22 10:20:30.1650 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-05-22 10:20:30.1650 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-05-22 10:20:30.1650 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-05-22 10:20:30.2036 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-05-22 10:20:30.2194 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-22 10:20:30.2194 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" received WINDOW_UPDATE frame for stream ID 1 with length 4 and flags 0x0.
2024-05-22 10:20:34.9028 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-22 10:20:34.9028 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-22 10:20:34.9028 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-22 10:20:34.9028 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-22 10:20:34.9211 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS.
2024-05-22 10:20:34.9211 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 3 with length 11990 and flags NONE.
2024-05-22 10:20:34.9211 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-05-22 10:20:35.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending HEADERS frame for stream ID 5 with length 149 and flags END_HEADERS.
2024-05-22 10:20:35.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 9986 and flags NONE.
2024-05-22 10:20:35.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-22 10:20:35.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
