2024-05-24 11:13:03.6226 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-05-24 11:13:03.6639 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-24 11:13:03.6639 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-05-24 11:13:03.6639 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-05-24 11:13:03.6639 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-24 11:13:03.6639 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-24 11:13:03.7369 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-05-24 11:13:03.8288 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-24 11:13:04.3543 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-05-24 11:13:05.2567 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-24 11:13:05.2567 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-24 11:13:05.2567 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-24 11:13:05.2567 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-24 11:13:05.2567 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-05-24 11:13:05.2567 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-05-24 11:13:05.2567 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-05-24 11:13:05.2781 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-05-24 11:13:05.7083 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-24 11:13:05.7083 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-24 11:13:05.7083 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-24 11:13:05.7248 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-24 11:13:05.7644 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS.
2024-05-24 11:13:05.7644 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 3 with length 11990 and flags NONE.
2024-05-24 11:13:05.7677 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-05-24 11:13:05.9770 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending HEADERS frame for stream ID 5 with length 149 and flags END_HEADERS.
2024-05-24 11:13:05.9770 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 9986 and flags NONE.
2024-05-24 11:13:05.9770 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:05.9770 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:05.9770 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:05.9770 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:05.9770 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:05.9770 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:06.0897 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:06.0897 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:06.0897 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:06.0897 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:06.0897 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:06.0897 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:06.0897 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-24 11:13:06.0897 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
