2024-04-26 11:04:49.4936 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-26 11:04:49.4936 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-26 11:04:49.4936 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-26 11:04:49.4936 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-26 11:04:49.5022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-26 11:04:49.5022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-26 11:04:49.5382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-26 11:04:49.5677 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-26 11:04:50.0965 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-26 11:04:50.5275 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-26 11:04:50.5275 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-26 11:04:50.5275 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-26 11:04:50.5275 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-26 11:04:50.5275 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-04-26 11:04:50.5275 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-26 11:04:50.5275 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-04-26 11:04:50.5606 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-26 11:04:51.3214 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-26 11:04:51.3214 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-26 11:04:51.3214 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-26 11:04:51.3214 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-26 11:04:51.3408 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS.
2024-04-26 11:04:51.3710 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 3 with length 11990 and flags NONE.
2024-04-26 11:04:51.3710 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending HEADERS frame for stream ID 5 with length 149 and flags END_HEADERS.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 9986 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.7776 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.9377 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.9377 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.9377 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.9377 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.9377 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.9377 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
