2024-04-29 11:02:27.8854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-29 11:02:27.8962 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-29 11:02:27.8962 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-29 11:02:27.8962 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-29 11:02:27.9085 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-29 11:02:27.9085 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-29 11:02:27.9516 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-29 11:02:28.0392 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-29 11:02:28.8765 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-29 11:02:30.8473 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-29 11:02:30.8473 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-29 11:02:30.8473 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-29 11:02:30.8473 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-29 11:02:30.8473 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending DATA frame for stream ID 1 with length 992 and flags NONE.
