2024-04-30 09:36:18.3572 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-30 09:36:18.4033 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-30 09:36:18.4033 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-30 09:36:18.4033 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-30 09:36:18.4033 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-30 09:36:18.4033 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-30 09:36:18.4426 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-30 09:36:18.4701 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-30 09:36:18.8409 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-30 09:36:19.2128 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-30 09:36:19.2128 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-30 09:36:19.2128 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-30 09:36:19.2128 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-30 09:36:19.2128 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-04-30 09:36:19.2128 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-30 09:36:19.2128 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-04-30 09:36:19.2345 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-30 09:36:19.8485 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-30 09:36:19.8533 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-30 09:36:19.8533 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
