2024-04-02 09:49:06.9015 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-04-02 09:49:08.9462 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-04-02 09:49:09.3784 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-04-02 09:49:09.4504 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-04-02 09:49:09.4504 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Logging
2024-04-02 09:49:09.4504 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2024-04-02 09:49:09.4504 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2024-04-02 09:49:09.8597 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2IPG5N2DC0" accepted.
2024-04-02 09:49:09.8597 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2IPG5N2DC0" started.
2024-04-02 09:49:10.0002 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2IPG5N2DC1" accepted.
2024-04-02 09:49:10.0002 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2IPG5N2DC1" started.
2024-04-02 09:49:11.7669 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2IPG5N2DC2" accepted.
2024-04-02 09:49:11.7669 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2IPG5N2DC2" started.
2024-04-02 09:49:11.8353 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN2IPG5N2DC2 established using the following protocol: Tls12
2024-04-02 09:49:11.9316 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2024-04-02 09:49:12.3250 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
2024-04-02 09:49:12.5913 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
2024-04-02 09:49:19.6147 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2IPG5N2DC2" received FIN.
2024-04-02 09:49:19.6147 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" is closed. The last processed stream ID was 7.
2024-04-02 09:49:19.6147 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2IPG5N2DC2" sending FIN because: "The client closed the connection."
2024-04-02 09:49:19.6331 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2IPG5N2DC2" stopped.
2024-04-02 09:49:19.8776 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-04-02 09:49:19.8776 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2IPG5N2DC0" stopped.
