2024-04-01 16:13:33.1595 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-01 16:13:33.2240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-01 16:13:33.2240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-01 16:13:33.2240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-01 16:13:33.2240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-01 16:13:33.2240 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-01 16:13:33.2560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-01 16:13:33.2903 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-01 16:13:33.5395 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-01 16:13:33.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-01 16:13:33.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-01 16:13:33.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-01 16:13:33.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-01 16:13:33.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" sending DATA frame for stream ID 1 with length 989 and flags NONE.
2024-04-01 16:13:33.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-01 16:13:33.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-04-01 16:13:33.8141 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-01 16:13:34.4584 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2I729A5KR4" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
