2024-04-02 09:49:11.8636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-02 09:49:11.8636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-02 09:49:11.8636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-02 09:49:11.8636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-02 09:49:11.8753 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-02 09:49:11.8753 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-02 09:49:11.9048 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-02 09:49:11.9316 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-02 09:49:12.3391 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-02 09:49:12.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-02 09:49:12.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-02 09:49:12.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-02 09:49:12.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-02 09:49:12.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending DATA frame for stream ID 1 with length 989 and flags NONE.
2024-04-02 09:49:12.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-02 09:49:12.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-04-02 09:49:12.5936 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-02 09:49:16.5002 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-02 09:49:16.5002 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-02 09:49:16.5002 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-02 09:49:16.5002 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-02 09:49:16.5164 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS.
2024-04-02 09:49:16.5164 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending DATA frame for stream ID 3 with length 11984 and flags NONE.
2024-04-02 09:49:16.5164 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2IPG5N2DC2" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
