2024-04-03 09:45:04.6481 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-03 09:45:04.6522 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-03 09:45:04.6522 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-03 09:45:04.6946 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-03 09:45:04.6946 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-03 09:45:04.6946 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-03 09:45:04.7522 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-03 09:45:04.9110 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-03 09:45:05.6414 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-03 09:45:06.5313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-03 09:45:06.5313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
