2024-06-07 09:48:53.2301 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-06-07 09:48:53.9048 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-06-07 09:48:54.0574 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-06-07 09:48:54.0883 | DEBUG | Microsoft.AspNetCore.Server.Kestrel | No listening endpoints were configured. Binding to http://localhost:5000 and https://localhost:5001 by default.
2024-06-07 09:48:54.0883 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-06-07 09:48:54.0883 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Logging
2024-06-07 09:49:27.7303 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting shutdown
2024-06-07 09:49:31.1462 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-06-07 09:49:31.2155 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-06-07 09:49:31.2933 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-06-07 09:49:31.3206 | DEBUG | Microsoft.AspNetCore.Server.Kestrel | No listening endpoints were configured. Binding to http://localhost:5000 and https://localhost:5001 by default.
2024-06-07 09:49:31.3206 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-06-07 09:49:31.3206 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Logging
2024-06-07 09:49:45.2978 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN46L47T912R" accepted.
2024-06-07 09:49:45.2978 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN46L47T912R" started.
2024-06-07 09:49:45.2978 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN46L47T912S" accepted.
2024-06-07 09:49:45.2978 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN46L47T912S" started.
2024-06-07 09:49:45.3706 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2024-06-07 09:49:45.3706 | DEBUG | Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware | Https port '5001' discovered from server endpoints.
2024-06-07 09:49:45.3834 | DEBUG | Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware | Redirecting to 'https://localhost:5001/'.
2024-06-07 09:49:45.3834 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN46L47T912R" completed keep alive response.
2024-06-07 09:49:45.3954 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN46L47T912T" accepted.
2024-06-07 09:49:45.3954 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN46L47T912T" started.
2024-06-07 09:49:45.4541 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN46L47T912T established using the following protocol: Tls12
2024-06-07 09:49:45.5077 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/'
2024-06-07 09:49:45.5077 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints
2024-06-07 09:49:49.5738 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN46L47T912T" received FIN.
2024-06-07 09:49:49.5738 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN46L47T912S" received FIN.
2024-06-07 09:49:49.5738 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN46L47T912R" received FIN.
2024-06-07 09:49:49.5738 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN46L47T912S" disconnecting.
2024-06-07 09:49:49.5738 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN46L47T912R" disconnecting.
2024-06-07 09:49:49.5738 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN46L47T912R" sending FIN because: "The client closed the connection."
2024-06-07 09:49:49.5738 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN46L47T912S" stopped.
2024-06-07 09:49:49.5738 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN46L47T912S" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-06-07 09:49:49.5738 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46L47T912T" is closed. The last processed stream ID was 1.
2024-06-07 09:49:49.5738 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN46L47T912T" sending FIN because: "The client closed the connection."
2024-06-07 09:49:49.5738 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN46L47T912R" stopped.
2024-06-07 09:49:49.5855 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN46L47T912T" stopped.
2024-06-07 09:49:51.8177 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting shutdown
